"Date","Price","Open","High","Low","Vol.","Change %"
"07/26/2022","47.15","46.55","47.20","46.50","1.10M","1.40%"
"07/25/2022","46.50","46.90","47.00","46.30","799.10K","-0.43%"
"07/22/2022","46.70","46.65","47.15","46.50","1.41M","0.65%"
"07/21/2022","46.40","46.00","47.35","46.00","2.78M","1.64%"
"07/20/2022","45.65","45.80","46.75","45.60","2.98M","-0.11%"
"07/19/2022","45.70","47.00","47.20","44.60","5.27M","-2.56%"
"07/18/2022","46.90","47.10","47.50","46.50","1.70M","-0.64%"
"07/15/2022","47.20","47.75","48.15","46.95","1.81M","-1.05%"
"07/14/2022","47.70","47.90","47.90","47.50","3.53M","0.10%"
"07/13/2022","47.65","49.70","49.70","47.60","3.70M","-4.12%"
"07/12/2022","49.70","49.40","49.70","48.80","1.36M","0.61%"
"07/11/2022","49.40","49.80","50.05","48.95","3.35M","-0.60%"
"07/08/2022","49.70","48.80","50.50","48.80","3.92M","1.95%"
"07/07/2022","48.75","48.70","49.45","48.70","2.28M","0.41%"
"07/06/2022","48.55","49.10","49.85","48.55","1.40M","-1.12%"
"07/05/2022","49.10","48.55","49.20","48.45","863.00K","2.29%"
"07/04/2022","48.00","48.00","48.80","47.80","690.10K","0.42%"
"07/01/2022","47.80","48.00","48.80","47.70","449.80K","0.00%"
"06/30/2022","47.80","49.20","49.20","47.80","1.65M","-2.25%"
"06/29/2022","48.90","49.20","49.35","48.70","866.20K","-0.41%"
"06/28/2022","49.10","49.00","49.80","48.40","1.54M","0.00%"
"06/27/2022","49.10","49.60","49.60","48.65","736.60K","-1.70%"
"06/24/2022","49.95","48.00","49.95","47.50","1.28M","4.61%"
"06/23/2022","47.75","49.95","49.95","47.75","2.12M","-3.54%"
"06/22/2022","49.50","50.35","50.35","48.50","2.09M","-1.69%"
"06/21/2022","50.35","50.95","50.95","49.95","763.94K","-1.08%"
"06/20/2022","50.90","50.50","50.90","50.15","502.89K","0.69%"
"06/17/2022","50.55","49.80","50.60","49.50","3.78M","0.30%"
"06/16/2022","50.40","50.60","50.60","49.85","1.00M","-0.59%"
"06/15/2022","50.70","49.80","50.70","49.50","2.39M","2.22%"
"06/14/2022","49.60","50.00","50.40","49.50","4.74M","-1.10%"
"06/13/2022","50.15","50.70","50.70","50.00","2.50M","-1.38%"
"06/10/2022","50.85","51.65","52.60","50.75","3.63M","-1.83%"
"06/09/2022","51.80","53.80","53.80","51.75","3.50M","-3.72%"
"06/08/2022","53.80","54.00","54.25","53.20","1.99M","-0.37%"
"06/07/2022","54.00","53.00","54.00","52.70","1.66M","1.89%"
"06/06/2022","53.00","53.00","53.30","52.20","587.59K","0.00%"
"06/03/2022","53.00","52.25","53.85","52.25","1.43M","0.00%"
"06/02/2022","53.00","54.00","54.30","52.80","2.56M","-2.39%"
"06/01/2022","54.30","54.90","54.90","53.50","930.86K","-1.27%"
"05/31/2022","55.00","55.00","55.00","53.75","12.07M","-0.18%"
"05/30/2022","55.10","53.85","55.20","53.85","4.33M","2.42%"
"05/27/2022","53.80","52.75","53.80","52.50","1.64M","1.99%"
"05/26/2022","52.75","51.00","52.75","51.00","2.12M","3.43%"
"05/25/2022","51.00","50.40","51.50","50.25","1.32M","1.80%"
"05/24/2022","50.10","52.00","52.20","50.10","2.06M","-4.02%"
"05/23/2022","52.20","52.00","52.20","51.15","2.65M","0.00%"
"05/20/2022","52.20","51.00","52.20","51.00","2.91M","2.55%"
"05/19/2022","50.90","51.95","52.40","50.90","1.64M","-2.58%"
"05/18/2022","52.25","51.50","52.65","50.45","2.47M","1.46%"
"05/17/2022","51.50","50.05","51.50","49.50","2.26M","3.00%"
"05/16/2022","50.00","50.00","50.70","49.50","1.51M","2.04%"
"05/13/2022","49.00","50.90","52.25","49.00","3.80M","-3.54%"
"05/12/2022","50.80","51.80","52.95","50.80","2.72M","-2.21%"
"05/11/2022","51.95","52.00","52.90","51.75","1.77M","-1.80%"
"05/10/2022","52.90","50.50","52.90","50.00","3.19M","0.09%"
"05/06/2022","52.85","52.40","53.80","52.15","2.35M","-0.94%"
"05/05/2022","53.35","52.15","53.35","52.15","1.68M","2.60%"
"05/04/2022","52.00","50.30","52.00","50.30","2.42M","3.90%"
"05/02/2022","50.05","51.80","51.80","49.20","4.63M","-2.05%"
"04/29/2022","51.10","53.00","53.45","51.00","3.53M","-3.13%"
"04/28/2022","52.75","53.00","53.20","52.45","2.40M","-0.47%"
"04/27/2022","53.00","54.10","54.20","53.00","2.47M","-2.03%"
"04/26/2022","54.10","55.35","55.35","54.10","1.96M","-2.52%"
"04/25/2022","55.50","55.30","55.50","54.10","1.52M","0.18%"
"04/22/2022","55.40","55.85","55.85","54.50","867.02K","-1.07%"
"04/21/2022","56.00","55.20","56.20","54.80","1.89M","1.45%"
"04/20/2022","55.20","53.90","55.20","53.90","1.63M","2.99%"
"04/19/2022","53.60","54.25","54.70","53.60","1.74M","-0.92%"
"04/18/2022","54.10","54.95","54.95","54.00","557.71K","-1.64%"
"04/13/2022","55.00","54.00","55.00","54.00","856.52K","2.14%"
"04/12/2022","53.85","55.00","55.00","53.85","1.70M","-2.09%"
"04/11/2022","55.00","55.00","55.20","54.60","468.11K","0.92%"
"04/08/2022","54.50","54.35","55.00","54.25","1.19M","0.83%"
"04/07/2022","54.05","56.60","56.70","54.05","3.22M","-4.93%"
